Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
Betclic 1 Liga ,1,29/07/07,Away,Znicz Pruszkow,Pelikan Lowicz,0:2,CF,90',0:2,Not reported,Not Applicable
Betclic 1 Liga ,2,05/08/07,Home,Znicz Pruszkow,Kmita Zabierzów,4:0,CF,77',4:0,Not reported,Not Applicable
Betclic 1 Liga ,3,08/08/07,Away,Znicz Pruszkow,GKS Katowice,1:2,Not Applicable,16',0:1,Not reported,Not Applicable
Betclic 1 Liga ,4,11/08/07,Away,Znicz Pruszkow,LKS Lomza,2:4,Not Applicable,41',2:2,Penalty,Not Applicable
Betclic 1 Liga ,11,19/09/07,Home,Znicz Pruszkow,GKS Jastrzebie,4:2,Not Applicable,7',1:0,Not reported,Not Applicable
Betclic 1 Liga ,11,19/09/07,Home,Znicz Pruszkow,GKS Jastrzebie,4:2,Not Applicable,84',3:2,Not reported,Not Applicable
Betclic 1 Liga ,11,19/09/07,Home,Znicz Pruszkow,GKS Jastrzebie,4:2,Not Applicable,88',4:2,Not reported,Not Applicable
Betclic 1 Liga ,18,04/11/07,Home,Znicz Pruszkow,Pelikan Lowicz,2:2,Not Applicable,19',1:0,Not reported,Not Applicable
Betclic 1 Liga ,18,04/11/07,Home,Znicz Pruszkow,Pelikan Lowicz,2:2,Not Applicable,70',2:2,Not reported,Not Applicable
Betclic 1 Liga ,21,16/03/08,Home,Znicz Pruszkow,LKS Lomza,3:1,Not Applicable,62',1:0,Not reported,Not Applicable
Betclic 1 Liga ,22,22/03/08,Away,Znicz Pruszkow,Slask Wroclaw,0:3,CF,24',0:1,Not reported,Igor Lewczuk
Betclic 1 Liga ,22,22/03/08,Away,Znicz Pruszkow,Slask Wroclaw,0:3,CF,56',0:3,Not reported,Pawel Kaczmarek
Betclic 1 Liga ,23,30/03/08,Home,Znicz Pruszkow,Stal Stalowa Wola,1:1,Not Applicable,48',1:1,Not reported,Not Applicable
Betclic 1 Liga ,24,06/04/08,Away,Znicz Pruszkow,Arka Gdynia,2:2,Not Applicable,90',2:2,Not reported,Not Applicable
Betclic 1 Liga ,26,18/04/08,Away,Znicz Pruszkow,Piast Gliwice,0:1,Not Applicable,50',0:1,Not reported,Not Applicable
Betclic 1 Liga ,27,26/04/08,Home,Znicz Pruszkow,Wisla Plock,3:1,Not Applicable,54',2:1,Not reported,Not Applicable
Betclic 1 Liga ,27,26/04/08,Home,Znicz Pruszkow,Wisla Plock,3:1,Not Applicable,77',3:1,Not reported,Lukasz Grzeszczyk
Betclic 1 Liga ,29,04/05/08,Home,Znicz Pruszkow,Polonia Warsaw,3:2,Not Applicable,2',1:0,Not reported,Not Applicable
Betclic 1 Liga ,29,04/05/08,Home,Znicz Pruszkow,Polonia Warsaw,3:2,Not Applicable,31',3:1,Not reported,Not Applicable
Betclic 1 Liga ,30,07/05/08,Away,Znicz Pruszkow,Odra Opole,0:1,Not Applicable,50',0:1,Not reported,Not Applicable
Betclic 1 Liga ,31,11/05/08,Home,Znicz Pruszkow,Motor Lublin,3:0,CF,35',2:0,Not reported,Not Applicable
UEFA-Cup Qualifikation ,1.Runde,17/07/08,Away,Lech Poznan,Khazar Lankaran (- 2016),0:1,Not Applicable,75',0:1,Not reported,Slawomir Peszko
Ekstraklasa ,1,08/08/08,Home,Lech Poznan,GKS Belchatow,2:3,Not Applicable,67',2:1,Not reported,Tomasz Bandrowski
UEFA-Cup Qualifikation ,2.Runde,14/08/08,Home,Lech Poznan,Grasshopper Club Zurich,6:0,Not Applicable,14',2:0,Right-footed shot,Hernán Rengifo
UEFA-Cup Qualifikation ,2.Runde,14/08/08,Home,Lech Poznan,Grasshopper Club Zurich,6:0,Not Applicable,56',3:0,Right-footed shot,Semir Stilic
Ekstraklasa ,3,23/08/08,Home,Lech Poznan,Górnik Zabrze,3:0,Not Applicable,10',1:0,Not reported,Semir Stilic
Ekstraklasa ,4,31/08/08,Away,Lech Poznan,Arka Gdynia,2:1,Not Applicable,23',0:1,Not reported,Hernán Rengifo
Ekstraklasa ,5,14/09/08,Away,Lech Poznan,Wisla Kraków,1:4,Not Applicable,8',0:2,Deflected shot on goal,Semir Stilic
Ekstraklasa ,5,14/09/08,Away,Lech Poznan,Wisla Kraków,1:4,Not Applicable,58',1:4,Right-footed shot,Dimitrije Injac
UEFA Cup ,1.Runde,02/10/08,Home,Lech Poznan,Austria Vienna,4:2,CF,99',3:1,Long distance kick,Not Applicable
Ekstraklasa ,10,25/10/08,Home,Lech Poznan,Slask Wroclaw,1:1,Not Applicable,6',1:0,Not reported,Semir Stilic
Ekstraklasa ,11,31/10/08,Home,Lech Poznan,Odra Wodzislaw Slaski,3:1,Not Applicable,53',3:1,Not reported,Not Applicable
Ekstraklasa ,12,09/11/08,Away,Lech Poznan,Lechia Gdansk,0:3,Not Applicable,45',0:1,Not reported,Semir Stilic
Ekstraklasa ,18,01/03/09,Away,Lech Poznan,GKS Belchatow,2:3,Not Applicable,90',2:3,Left-footed shot,Hernán Rengifo
STS Polish Cup ,Viertelfinale,04/03/09,Away,Lech Poznan,Wisla Kraków,0:1,Not Applicable,49',0:1,Right-footed shot,Semir Stilic
Ekstraklasa ,19,08/03/09,Home,Lech Poznan,Jagiellonia Bialystok,1:0,Not Applicable,48',1:0,Left-footed shot,Tomasz Bandrowski
STS Polish Cup ,Viertelfinale,08/04/09,Home,Lech Poznan,Wisla Kraków,2:1,Not Applicable,26',1:0,Right-footed shot,Ivan Djurdjevic
Ekstraklasa ,25,26/04/09,Away,Lech Poznan,Legia Warszawa,1:1,Not Applicable,75',1:1,Not reported,Bartosz Bosacki
Ekstraklasa ,26,03/05/09,Home,Lech Poznan,Ruch Chorzow,1:1,Not Applicable,45',1:0,Right-footed shot,Slawomir Peszko
Ekstraklasa ,27,09/05/09,Away,Lech Poznan,Slask Wroclaw,0:2,Not Applicable,12',0:1,Right-footed shot,Jakub Wilk
Ekstraklasa ,28,15/05/09,Home,Lech Poznan,Lechia Gdansk,1:0,Not Applicable,85',1:0,Header,Rafal Murawski
Superpuchar ,Finale,25/07/09,Away,Lech Poznan,Wisla Kraków,3:4,CF,9',0:1,Right-footed shot,Marcin Kikut
Europa League Qualifying ,3.Runde,30/07/09,Away,Lech Poznan,Fredrikstad FK,1:6,Not Applicable,51',1:4,Right-footed shot,Tomasz Bandrowski
Europa League Qualifying ,3.Runde,06/08/09,Home,Lech Poznan,Fredrikstad FK,1:2,Not Applicable,63',1:2,Header,Semir Stilic
Ekstraklasa ,2,09/08/09,Away,Lech Poznan,Korona Kielce,0:5,Not Applicable,85',0:4,Right-footed shot,Semir Stilic
Ekstraklasa ,2,09/08/09,Away,Lech Poznan,Korona Kielce,0:5,Not Applicable,87',0:5,Left-footed shot,Marcin Kikut
Ekstraklasa ,5,30/08/09,Home,Lech Poznan,GKS Belchatow,2:2,Not Applicable,59',1:2,Right-footed shot,Jakub Wilk
Ekstraklasa ,6,12/09/09,Away,Lech Poznan,Jagiellonia Bialystok,2:3,Not Applicable,27',2:1,Left-footed shot,Marcin Kikut
Ekstraklasa ,9,04/10/09,Away,Lech Poznan,Arka Gdynia,1:1,Not Applicable,76',1:1,Header,Slawomir Peszko
Ekstraklasa ,10,18/10/09,Home,Lech Poznan,Wisla Kraków,1:0,Not Applicable,60',1:0,Right-footed shot,Semir Stilic
Ekstraklasa ,13,07/11/09,Away,Lech Poznan,Polonia Bytom,1:1,Not Applicable,63',0:1,Right-footed shot,Jakub Wilk
Ekstraklasa ,14,21/11/09,Home,Lech Poznan,Ruch Chorzow,3:1,Not Applicable,12',1:0,Not reported,Slawomir Peszko
Ekstraklasa ,14,21/11/09,Home,Lech Poznan,Ruch Chorzow,3:1,Not Applicable,44',2:0,Right-footed shot,Tomasz Mikolajczak
Ekstraklasa ,18,28/02/10,Away,Lech Poznan,Polonia Warsaw,0:3,Not Applicable,25',0:1,Right-footed shot,Slawomir Peszko
Ekstraklasa ,18,28/02/10,Away,Lech Poznan,Polonia Warsaw,0:3,Not Applicable,72',0:2,Right-footed shot,Semir Stilic
Ekstraklasa ,19,06/03/10,Home,Lech Poznan,Cracovia,3:1,Not Applicable,37',2:1,Tap-in,Slawomir Peszko
Ekstraklasa ,21,21/03/10,Home,Lech Poznan,Jagiellonia Bialystok,2:0,Not Applicable,27',1:0,Header,Dimitrije Injac
Ekstraklasa ,27,02/05/10,Away,Lech Poznan,Slask Wroclaw,0:3,Not Applicable,23',0:1,Header,Sergey Krivets
Ekstraklasa ,27,02/05/10,Away,Lech Poznan,Slask Wroclaw,0:3,Not Applicable,57',0:3,Left-footed shot,Slawomir Peszko
Ekstraklasa ,28,08/05/10,Home,Lech Poznan,Polonia Bytom,3:0,Not Applicable,34',3:0,Left-footed shot,Slawomir Peszko
Ekstraklasa ,29,11/05/10,Away,Lech Poznan,Ruch Chorzow,1:2,Not Applicable,69',1:1,Left-footed shot,Grzegorz Wojtkowiak
Ekstraklasa ,30,15/05/10,Home,Lech Poznan,Zaglebie Lubin,2:0,Not Applicable,58',2:0,Right-footed shot,Sergey Krivets
Bundesliga ,4,19/09/10,Away,Borussia Dortmund,FC Schalke 04,1:3,CF,86',0:3,Header,Nuri Şahin
Bundesliga ,5,22/09/10,Home,Borussia Dortmund,1.FC Kaiserslautern,5:0,CF,75',4:0,Right-footed shot,Jakub Blaszczykowski
Bundesliga ,11,07/11/10,Away,Borussia Dortmund,Hannover 96,0:4,CF,81',0:3,Right-footed shot,Jakub Blaszczykowski
Bundesliga ,13,20/11/10,Away,Borussia Dortmund,SC Freiburg,1:2,SS,75',1:1,Header,Marcel Schmelzer
Europa League ,Gruppenphase,02/12/10,Home,Borussia Dortmund,Karpaty Lviv,3:0,CF,89',3:0,Left-footed shot,Nuri Şahin
Bundesliga ,15,05/12/10,Away,Borussia Dortmund,1.FC Nuremberg,0:2,CF,88',0:2,Left-footed shot,Not Applicable
Bundesliga ,25,04/03/11,Home,Borussia Dortmund,1.FC Köln,1:0,SS,44',1:0,Left-footed shot,Mario Götze
