Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
2ª B - Grupo III ,2,05/09/04,Home,FC Barcelona B,Girona FC,1:2,LW,65',1:2,Left-footed shot,Dani Fernández
2ª B - Grupo III ,4,18/09/04,Home,FC Barcelona B,RCD Espanyol B,2:0,LW,88',2:0,Left-footed shot,Dani Fernández
2ª B - Grupo III ,10,31/10/04,Away,FC Barcelona B,Villajoyosa CF,2:1,AM,2',0:1,Not reported,Not Applicable
2ª B - Grupo III ,14,28/11/04,Away,FC Barcelona B,UE Figueres,2:2,AM,20',0:1,Not reported,Not Applicable
2ª B - Grupo III ,17,19/12/04,Home,FC Barcelona B,CD Alcoyano,2:0,CF,40',2:0,Left-footed shot,Not Applicable
2ª B - Grupo III ,33,23/04/05,Home,FC Barcelona B,UE Figueres,2:2,AM,15',2:0,Right-footed shot,Paco Montañés
LaLiga ,34,01/05/05,Home,FC Barcelona,Albacete Balompié,2:0,CF,90'+1,2:0,Left-footed shot,Ronaldinho
Champions League ,Gruppenphase,02/11/05,Home,FC Barcelona,Panathinaikos FC,5:0,RW,34',3:0,Left-footed shot,Not Applicable
LaLiga ,13,27/11/05,Home,FC Barcelona,Racing Santander,4:1,RW,51',2:0,Left-footed shot,Samuel Eto'o
LaLiga ,19,15/01/06,Home,FC Barcelona,Athletic Bilbao,2:1,RW,50',2:1,Left-footed shot,Mark van Bommel
LaLiga ,20,22/01/06,Home,FC Barcelona,Deportivo Alavés,2:0,CF,82',2:0,Left-footed shot,Ronaldinho
LaLiga ,21,29/01/06,Away,FC Barcelona,RCD Mallorca,0:3,CF,75',0:2,Right-footed shot,Sylvinho
LaLiga ,21,29/01/06,Away,FC Barcelona,RCD Mallorca,0:3,CF,83',0:3,Left-footed shot,Ronaldinho
Copa del Rey ,Viertelfinale,01/02/06,Home,FC Barcelona,Real Zaragoza,2:1,CF,42',1:0,Header,Ludovic Giuly
LaLiga ,24,18/02/06,Home,FC Barcelona,Real Betis Balompié,5:1,RW,84',5:1,Left-footed shot,Not Applicable
LaLiga ,1,28/08/06,Away,FC Barcelona,Celta de Vigo,2:3,LW,59',1:2,Left-footed shot,Andrés Iniesta
LaLiga ,2,09/09/06,Home,FC Barcelona,CA Osasuna,3:0,RW,36',3:0,Left-footed shot,Samuel Eto'o
Champions League ,Gruppenphase,27/09/06,Away,FC Barcelona,SV Werder Bremen,1:1,RW,89',1:1,Left-footed shot,Deco
LaLiga ,6,15/10/06,Home,FC Barcelona,Sevilla FC,3:1,RW,80',3:1,Right-footed shot,Xavi
LaLiga ,26,10/03/07,Home,FC Barcelona,Real Madrid,3:3,RW,11',1:1,Left-footed shot,Samuel Eto'o
LaLiga ,26,10/03/07,Home,FC Barcelona,Real Madrid,3:3,RW,28',2:2,Left-footed shot,Not Applicable
LaLiga ,26,10/03/07,Home,FC Barcelona,Real Madrid,3:3,RW,90'+1,3:3,Left-footed shot,Ronaldinho
LaLiga ,27,17/03/07,Away,FC Barcelona,Recreativo Huelva,0:4,RW,86',0:4,Left-footed shot,Not Applicable
LaLiga ,28,31/03/07,Home,FC Barcelona,Deportivo de La Coruña,2:1,RW,45',1:0,Left-footed shot,Ronaldinho
Copa del Rey ,Halbfinale,18/04/07,Home,FC Barcelona,Getafe CF,5:2,RW,29',2:0,Solo run,Xavi
Copa del Rey ,Halbfinale,18/04/07,Home,FC Barcelona,Getafe CF,5:2,RW,45',3:0,Left-footed shot,Deco
LaLiga ,35,20/05/07,Away,FC Barcelona,Atlético de Madrid,0:6,RW,39',0:1,Left-footed shot,Samuel Eto'o
LaLiga ,35,20/05/07,Away,FC Barcelona,Atlético de Madrid,0:6,RW,80',0:5,Left-footed shot,Giovanni van Bronckhorst
LaLiga ,37,09/06/07,Home,FC Barcelona,RCD Espanyol Barcelona,2:2,RW,43',1:1,Not reported,Gianluca Zambrotta
LaLiga ,37,09/06/07,Home,FC Barcelona,RCD Espanyol Barcelona,2:2,RW,57',2:1,Right-footed shot,Deco
LaLiga ,38,17/06/07,Away,FC Barcelona,Gimnàstic de Tarragona,1:5,RW,34',0:2,Left-footed shot,Deco
LaLiga ,38,17/06/07,Away,FC Barcelona,Gimnàstic de Tarragona,1:5,RW,51',0:4,Left-footed shot,Deco
Champions League ,Gruppenphase,19/09/07,Home,FC Barcelona,Olympique Lyon,3:0,RW,82',2:0,Left-footed shot,Andrés Iniesta
LaLiga ,4,22/09/07,Home,FC Barcelona,Sevilla FC,2:1,RW,72',1:0,Left-footed shot,Thierry Henry
LaLiga ,4,22/09/07,Home,FC Barcelona,Sevilla FC,2:1,RW,79',2:0,Penalty,Not Applicable
LaLiga ,5,26/09/07,Home,FC Barcelona,Real Zaragoza,4:1,RW,5',1:0,Left-footed shot,Thierry Henry
LaLiga ,5,26/09/07,Home,FC Barcelona,Real Zaragoza,4:1,RW,10',2:1,Left-footed shot,Deco
LaLiga ,6,29/09/07,Away,FC Barcelona,Levante UD,1:4,RW,50',0:4,Left-footed shot,Deco
Champions League ,Gruppenphase,02/10/07,Away,FC Barcelona,VfB Stuttgart,0:2,RW,66',0:2,Deflected shot on goal,Thierry Henry
LaLiga ,7,07/10/07,Home,FC Barcelona,Atlético de Madrid,3:0,RW,19',2:0,Left-footed shot,Ronaldinho
LaLiga ,9,28/10/07,Home,FC Barcelona,UD Almería,2:0,RW,80',2:0,Penalty,Not Applicable
