Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
Campeonato Paulista ,14,16/03/09,Home,Santos FC,Mogi Mirim EC,3:0,LW,73',3:0,Not reported,Not Applicable
Copa do Brasil ,1.Runde,19/03/09,Home,Santos FC,Rio Branco Football Club (AC),4:0,Not Applicable,59',1:0,Not reported,Not Applicable
Campeonato Paulista ,16,26/03/09,Home,Santos FC,EC Santo André,3:0,Not Applicable,66',3:0,Not reported,Not Applicable
Paulistão A1 - Fase Final ,Halbfinale,11/04/09,Home,Santos FC,Sociedade Esportiva Palmeiras,2:1,Not Applicable,46',2:1,Not reported,Not Applicable
Série A ,7,21/06/09,Home,Santos FC,Clube Atlético Mineiro,2:3,Not Applicable,45',1:0,Left-footed shot,Not Applicable
Série A ,11,15/07/09,Home,Santos FC,Grêmio Barueri Futebol Ltda.,3:3,Not Applicable,88',3:3,Header,Luizinho
Série A ,13,22/07/09,Home,Santos FC,Atlético Paranaense,1:0,Not Applicable,72',1:0,Left-footed shot,Roni
Série A ,15,29/07/09,Away,Santos FC,Clube Náutico Capibaribe,1:2,Not Applicable,67',0:1,Header,Madson
Série A ,34,07/11/09,Home,Santos FC,Clube Náutico Capibaribe,3:1,Not Applicable,58',2:0,Right-footed shot,Madson
Série A ,34,07/11/09,Home,Santos FC,Clube Náutico Capibaribe,3:1,Not Applicable,89',3:1,Left-footed shot,Madson
Série A ,35,15/11/09,Away,Santos FC,Sport Club Internacional,3:1,Not Applicable,63',2:1,Right-footed shot,Felipe Azevedo
Série A ,36,22/11/09,Home,Santos FC,Coritiba Foot Ball Club,4:0,Not Applicable,64',3:0,Left-footed shot,Madson
Série A ,36,22/11/09,Home,Santos FC,Coritiba Foot Ball Club,4:0,Not Applicable,88',4:0,Right-footed shot,Ganso
Série A ,38,06/12/09,Home,Santos FC,Cruzeiro Esporte Clube,1:2,Not Applicable,70',1:1,Right-footed shot,Not Applicable
Campeonato Paulista ,1,18/01/10,Away,Santos FC,Rio Branco EC (SP),0:4,Not Applicable,20',0:2,Not reported,Not Applicable
Campeonato Paulista ,1,18/01/10,Away,Santos FC,Rio Branco EC (SP),0:4,Not Applicable,89',0:4,Not reported,Not Applicable
Campeonato Paulista ,4,28/01/10,Home,Santos FC,Grêmio Barueri Futebol Ltda.,5:0,Not Applicable,78',4:0,Not reported,Not Applicable
Campeonato Paulista ,4,28/01/10,Home,Santos FC,Grêmio Barueri Futebol Ltda.,5:0,Not Applicable,86',5:0,Penalty,Not Applicable
Campeonato Paulista ,5,31/01/10,Home,Santos FC,Oeste FC,2:0,Not Applicable,90'+2,2:0,Not reported,Not Applicable
Campeonato Paulista ,6,05/02/10,Away,Santos FC,EC Santo André,1:2,Not Applicable,24',0:1,Not reported,Not Applicable
Campeonato Paulista ,7,07/02/10,Away,Santos FC,São Paulo Futebol Clube,1:2,Not Applicable,38',0:1,Penalty,Not Applicable
Campeonato Paulista ,11,28/02/10,Home,Santos FC,Sport Club Corinthians Paulista,2:1,Not Applicable,33',1:0,Right-footed shot,Marquinhos
Copa do Brasil ,1.Runde,11/03/10,Home,Santos FC,Clube Esportivo Naviraiense (MS),10:0,Not Applicable,28',3:0,Solo run,Robinho
Copa do Brasil ,1.Runde,11/03/10,Home,Santos FC,Clube Esportivo Naviraiense (MS),10:0,Not Applicable,54',7:0,Solo run,Giovanni
Campeonato Paulista ,14,14/03/10,Home,Santos FC,Sociedade Esportiva Palmeiras,3:4,Not Applicable,30',2:0,Not reported,Not Applicable
Copa do Brasil ,2.Runde,19/03/10,Away,Santos FC,Clube do Remo (PA),0:4,Not Applicable,21',0:1,Not reported,Marquinhos
Copa do Brasil ,2.Runde,19/03/10,Away,Santos FC,Clube do Remo (PA),0:4,Not Applicable,81',0:4,Penalty,Not Applicable
Campeonato Paulista ,18,04/04/10,Away,Santos FC,AD São Caetano (SP),1:3,Not Applicable,67',1:2,Not reported,Not Applicable
Copa do Brasil ,Achtelfinale,15/04/10,Home,Santos FC,Guarani Futebol Clube (SP),8:1,Not Applicable,2',1:0,Penalty,Not Applicable
Copa do Brasil ,Achtelfinale,15/04/10,Home,Santos FC,Guarani Futebol Clube (SP),8:1,Not Applicable,29',2:0,Left-footed shot,Not Applicable
Copa do Brasil ,Achtelfinale,15/04/10,Home,Santos FC,Guarani Futebol Clube (SP),8:1,Not Applicable,38',4:0,Left-footed shot,Arouca
Copa do Brasil ,Achtelfinale,15/04/10,Home,Santos FC,Guarani Futebol Clube (SP),8:1,Not Applicable,81',7:1,Right-footed shot,Robinho
Copa do Brasil ,Achtelfinale,15/04/10,Home,Santos FC,Guarani Futebol Clube (SP),8:1,Not Applicable,84',8:1,Right-footed shot,Robinho
Paulistão A1 - Fase Final ,Halbfinale,18/04/10,Home,Santos FC,São Paulo Futebol Clube,3:0,Not Applicable,59',1:0,Not reported,Not Applicable
Paulistão A1 - Fase Final ,Halbfinale,18/04/10,Home,Santos FC,São Paulo Futebol Clube,3:0,Not Applicable,84',2:0,Penalty,Not Applicable
Paulistão A1 - Fase Final ,Finale,25/04/10,Home,Santos FC,EC Santo André,2:3,Not Applicable,7',1:1,Not reported,Not Applicable
Paulistão A1 - Fase Final ,Finale,25/04/10,Home,Santos FC,EC Santo André,2:3,Not Applicable,32',2:2,Not reported,Not Applicable
Copa do Brasil ,Viertelfinale,06/05/10,Home,Santos FC,Clube Atlético Mineiro,3:1,Not Applicable,44',2:0,Not reported,Not Applicable
Série A ,1,08/05/10,Away,Santos FC,Botafogo de Futebol e Regatas,3:3,Not Applicable,29',1:1,Right-footed shot,Marquinhos
Série A ,2,16/05/10,Home,Santos FC,Ceará Sporting Club,1:1,Not Applicable,38',1:1,Penalty,Not Applicable
Série A ,4,26/05/10,Home,Santos FC,Guarani Futebol Clube (SP),3:1,Not Applicable,2',1:0,Right-footed shot,Ganso
Copa do Brasil ,Finale,29/07/10,Home,Santos FC,Esporte Clube Vitória,2:0,Not Applicable,14',1:0,Chest,Pará
Série A ,15,22/08/10,Home,Santos FC,Clube Atlético Mineiro,2:0,Not Applicable,55',1:0,Penalty,Not Applicable
Série A ,16,25/08/10,Away,Santos FC,Grêmio Foot-Ball Porto Alegrense,1:2,Not Applicable,68',1:1,Penalty,Not Applicable
Série A ,18,02/09/10,Home,Santos FC,Avaí FC,2:1,Not Applicable,1',1:0,Right-footed shot,Not Applicable
Série A ,24,22/09/10,Home,Santos FC,Sport Club Corinthians Paulista,2:3,Not Applicable,27',2:1,Tap-in,Marcel
Série A ,25,25/09/10,Home,Santos FC,Cruzeiro Esporte Clube,4:1,Not Applicable,90'+1,4:1,Right-footed shot,Not Applicable
Série A ,13,13/10/10,Home,Santos FC,Sport Club Internacional,1:0,Not Applicable,27',1:0,Left-footed shot,Danilo
Série A ,30,17/10/10,Away,Santos FC,São Paulo Futebol Clube,4:3,Not Applicable,70',3:3,Penalty,Not Applicable
Série A ,33,03/11/10,Home,Santos FC,Esporte Clube Vitória,1:1,Not Applicable,33',1:0,Right-footed shot,Marquinhos
Série A ,34,07/11/10,Away,Santos FC,Clube Atlético Mineiro,2:2,Not Applicable,17',0:1,Right-footed shot,Not Applicable
Série A ,34,07/11/10,Away,Santos FC,Clube Atlético Mineiro,2:2,Not Applicable,67',2:2,Right-footed shot,Not Applicable
Série A ,36,21/11/10,Away,Santos FC,Goiás EC,1:4,Not Applicable,75',1:2,Penalty,Not Applicable
Série A ,36,21/11/10,Away,Santos FC,Goiás EC,1:4,Not Applicable,79',1:3,Right-footed shot,Not Applicable
Série A ,36,21/11/10,Away,Santos FC,Goiás EC,1:4,Not Applicable,82',1:4,Right-footed shot,Felipe Anderson
Série A ,37,28/11/10,Away,Santos FC,Avaí FC,3:2,Not Applicable,32',0:2,Right-footed shot,Arouca
Campeonato Paulista ,12,10/03/11,Home,Santos FC,Portuguesa,3:0,Not Applicable,41',1:0,Left-footed shot,Elano
Campeonato Paulista ,12,10/03/11,Home,Santos FC,Portuguesa,3:0,Not Applicable,50',2:0,Right-footed shot,Edú Dracena
Libertadores ,Gruppenphase,17/03/11,Away,Santos FC,CSD Colo-Colo,3:2,LW,49',3:2,Left-footed shot,Ganso
Libertadores ,Gruppenphase,07/04/11,Home,Santos FC,CSD Colo-Colo,3:2,LW,52',3:0,Left-footed shot,Not Applicable
Libertadores ,Gruppenphase,20/04/11,Home,Santos FC,Deportivo Táchira,3:1,SS,4',1:0,Right-footed shot,Léo
Paulistão A1 - Fase Final ,Viertelfinale,23/04/11,Home,Santos FC,Associação Atlética Ponte Preta,1:0,Not Applicable,21',1:0,Left-footed shot,Elano
